Masa 20;21/07/2018 16:28:45;22/07/2018 18:38:33;capuccino;1;13.0;13.0
Masa 20;21/07/2018 16:28:45;22/07/2018 18:38:33;espresso;1;9.0;9.0
Masa 20;21/07/2018 16:28:45;22/07/2018 18:38:33;bitki cayi;1;10.0;10.0
Masa 20;21/07/2018 16:28:45;22/07/2018 18:38:33;americano;3;10.0;30.0
Masa 2;21/07/2018 16:32:28;22/07/2018 18:38:39;americano;4;10.0;40.0
Masa 16;21/07/2018 15:53:00;22/07/2018 18:38:58;iced latte;1;13.0;13.0
Masa 1;21/07/2018 16:16:25;22/07/2018 18:39:05;bitki cayi;2;10.0;20.0
Masa 3;21/07/2018 16:04:49;22/07/2018 18:39:12;çilekli smoothie;1;23.0;23.0
Masa 8;21/07/2018 15:53:13;22/07/2018 18:39:28;füme sosis tb.;2;44.0;88.0
Masa 4;21/07/2018 16:16:30;22/07/2018 18:39:34;capuccino;1;13.0;13.0
Masa 4;21/07/2018 16:16:30;22/07/2018 18:39:34;affogato;2;14.0;28.0
Masa 4;21/07/2018 16:16:30;22/07/2018 18:39:34;ıslak kek;1;15.0;15.0
Masa 4;21/07/2018 16:16:30;22/07/2018 18:39:34;behçet sandviç;1;32.0;32.0
Masa 6;21/07/2018 16:04:55;22/07/2018 18:39:40;iced latte;1;13.0;13.0
Toplam;;;;;;347.0
